question,answer1,answer2,answer3,answer4,correct_answer,image_url
"Którego polecenia nalezy użyć, aby wyraz TEKST został wyświetleny w kolorze czarnym w oknie przeglądarki internetowej?","<body color=""black""> TEKST </font>","<font color=""czarny""> TEKST </font>","<font color=""#000000""> TEKST </font>","<body bgcolor=""black""> TEKST </body>",2,
"W poleceniach, których celem jest odtwarzanie na stronie internetowej dźwięku jako podkładu muzycznego NIE wykorzystuje się atrybutu","loop=""10""","balance=""-10""","volume=""-100""","href=""C:/100.wav""",3,
"Jakiego znacznika należy użyć, aby przejść do kolejnej linii tekstu, nie tworząc akapitu na stronie internetowej?",<p>,</b>,<br>,</br>,2,
Kaskadowe arkusze stylów tworzy się w celu,ułatwienia formatowania strony,nadpisywania wartości znaczników już ustawionych na stronie,połączenia struktury dokumentu strony z właściwą formą jego prezentacji,blokowania jakichkolwiek zmian w wartościach znaczników już przypisanych w pliku CSS,0,
W podanej regule CSS: h1 {color: blue} h1 oznacza,klasę,wartość,selektor,deklarację,2,
Edytor spełniający założenia WYSIWYG musi umożliwiać,tworzenie podstawowej grafiki wektorowej,publikację strony na serwerze poprzez wbudowanego klienta FTP,obróbkę plików dźwiękowych przed umieszczeniem ich na stronie internetowej,uzyskanie zbliżonego wyniku tworzenej strony do jej obrazu w przegladarce interenetowej,3,
Do graficznego tworzenia stron internetowych należy wykorzystać.,edytor CSS,przeglądarkę internetową,program typu WYSIWYG,program MS Office Picture Manager,2,
W procesie walidacji stron internetowych nie bada się,działania linków,błędów składni kodu,zgodności z przeglądarkami,źródła pochodzenia narzędzi edytorskich,3,
"Model opisu przestrzeni barw o parametrach: odcień, nasycenie i jasność, to",HSV,RGB,CMY,CMYK,0,
"Wskaż model barw, który stosuje się do wyświetlania kolorów na ekranie monitora komputerowego",HLS,RGB,CMY,CMYK,1,
Który parametr obiektu graficznego ulegnie zmianie po modyfikacji wartości kanału alfa?,Nasycenie barw,Przezroczystość,Ostrość krawędzi,Kolejność wyświetlenia pikseli,1,
Jakiego formatu należy użyć do zapisu obrazu z kompresją stratną?,GIF,PNG,PCX,JPEG,3,
Najprostszy sposób zamiany obiektu oznaczonego cyfrą 1 na obiekt oznaczony cyfrą 2 polega na,animowaniu obiektu,zmianie warstwy obiektu,narysowaniu docelowego obiektu,geometrycznym transformowaniu obiektu,3,images/13.jpg
"Jak nazywa się proces przedstawienia, we właściwej dla danego środowiska formie, informacji zawartej w dokumencie elektronicznym?",Mapowanie,Rasteryzacja,Renderowanie,Teksturowanie,2,
"Proces filtracji sygnału wejściowego w dziedzinie czasu, obejmujący zasadę superpozycji, związany jest filtrem",liniowym,przyczynowym,niezmiennym w czasie,o skończonej odpowiedzi impulsowej,0,
